time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
325.5,440.559320144,-554.495064192,1.228725868,21324.8031496063,8.90853971769861,6.76311350524543,284.136034094471,-0.209037773881415,-0.0169701243059985,-0.493078943895848,0.05263471518546,-1.00494915222949
325.55,438.282270608,-556.022494912,1.165600354,21324.8031496063,8.90853971769861,6.76311350524543,284.136034094471,-0.208979473650975,-0.0171142596634608,-0.493174817694,0.05263471518546,-1.00590789021101
325.6,438.282270608,-556.022494912,1.165600354,21324.8031496063,8.90853971769861,6.76311350524543,284.136034094471,-0.208892023305315,-0.0171983386219804,-0.493270691492152,0.0525388413873079,-1.00734599718329
325.65,438.282270608,-556.022494912,1.165600354,21324.8031496063,8.90853971769861,6.76311350524543,284.139199241418,-0.209037773881415,-0.0171262709432493,-0.493270691492152,0.0525388413873079,-1.00840060896297
325.7,438.282270608,-556.022494912,1.165600354,21324.4750656168,8.90853971769861,6.76311350524543,284.139199241418,-0.209183524457515,-0.0170662145443067,-0.493270691492152,0.0524429675891559,-1.00983871593525
325.75,434.815131024,-558.323343808,1.142357838,21324.4750656168,8.90947652940432,6.76330836208021,284.139199241418,-0.209008623766195,-0.0170061581453641,-0.493270691492152,0.0524429675891559,-1.01089332771492
325.8,434.815131024,-558.323343808,1.142357838,21324.4750656168,8.90947652940432,6.76330836208021,284.139199241418,-0.209066923996635,-0.0170421919847297,-0.493174817694,0.0523470937910039,-1.01242730848535
325.85,434.815131024,-558.323343808,1.142357838,21324.4750656168,8.90947652940432,6.76330836208021,284.139199241418,-0.208950323535755,-0.017210349901769,-0.493078943895848,0.0523470937910039,-1.01338604646687
325.9,434.815131024,-558.323343808,1.142357838,21324.4750656168,8.90947652940432,6.76330836208021,284.139199241418,-0.209212674572735,-0.0172223611815575,-0.493174817694,0.0522512199928519,-1.0149200272373
325.95,432.529751712,-559.819713312,1.10670838,21324.4750656168,8.90947652940432,6.76330836208021,284.142364388365,-0.209008623766195,-0.016934090466633,-0.493270691492152,0.0522512199928519,-1.01587876521882
